name,Latitude,Longitude
"Space Invader PA__0290 & PA_0532, 113 rue Oberkampf",48.865889,2.37815
"Space Invader PA_0002, 45 rue Quincampoix",48.861071,2.350494
"Space Invader PA_0003, 14 rue de la Montagne Sainte-GeneviÃ¨ve",48.848851,2.348519
"Space Invader PA_0004, 22 rue Monge",48.847105,2.351085
"Space Invader PA_0005, 25 rue Guisarde",48.85181,2.33376
"Space Invader PA_0006, 40 rue de Seine",48.855063,2.336769
"Space Invader PA_0007, 89 quai de Valmy",48.873073,2.363517
"Space Invader PA_0008 & PA_1083, Impasse Cordon-Boussard",48.865787,2.397594
"Space Invader PA_0010, 30 rue de Charonne",48.85326,2.37574
"Space Invader PA_0013, 47 avenue Daumesnil",48.847401,2.375463
"Space Invader PA_0014, 59 avenue Ledru-Rollin",48.848836,2.372716
"Space Invader PA_0015, 24 rue de CÃ®teaux",48.848117,2.380831
"Space Invader PA_0016, 76 avenue Ledru-Rollin",48.84949,2.374375
"Space Invader PA_0017, face Ã  la rue Voltaire",48.815751,2.361939
"Space Invader PA_0018, 16 rue Saint-Vincent",48.888538,2.341277
"Space Invader PA_0019, pont piÃ©ton de la Grange aux Belles",48.873203,2.364043
"Space Invader PA_0020, 20 rue Saint-Fiacre",48.870718,2.345908
"Space Invader PA_0021, 12 rue Saint-Fiacre",48.870137,2.345564
"Space Invader PA_0022, 68 rue de Turenne",48.859843,2.364654
"Space Invader PA_0023, 5 impasse Beaubourg",48.8622,2.35343
"Space Invader PA_0024, 73 avenue des Gobelins",48.833385,2.354526
"Space Invader PA_0025, 2 rue de la Corderie",48.864634,2.363456
"Space Invader PA_0027, fontaine des Haudriettes",48.861207,2.357949
"Space Invader PA_0028, face au 5 rue Keller",48.853923,2.376619
"Space Invader PA_0029, 21 rue Pastourelle",48.862597,2.359894
"Space Invader PA_0030, 44 rue Quincampoix",48.860959,2.350511
"Space Invader PA_0031, 30 rue de Venise",48.86125,2.35068
"Space Invader PA_0032, 108 rue Vieille du Temple",48.86096,2.36275
"Space Invader PA_0034, 61 rue Vieille du Temple",48.858645,2.358503
"Space Invader PA_0035 & PA_0482, 24 rue PavÃ©e",48.857217,2.361749
"Space Invader PA_0036, face au 7 boulevard Vincent Auriol",48.837191,2.373305
"Space Invader PA_0037, 8 rue du Pasteur Wagner",48.85557,2.369763
"Space Invader PA_0038, 1 passage ThÃ©riÃ©",48.853203,2.374937
"Space Invader PA_0039, 2 rue d'Ã‰cosse",48.848325,2.346597
"Space Invader PA_0040, 45 rue de la Montagne Sainte-GeneviÃ¨ve",48.847145,2.348168
"Space Invader PA_0041, Porte de la Villette",48.89768,2.386005
"Space Invader PA_0043, 26 rue de l'Hirondelle",48.8537,2.34268
"Space Invader PA_0044, 2 rue de l'Ancienne ComÃ©die",48.853573,2.338489
"Space Invader PA_0046, statue de Danton",48.852267,2.339178
"Space Invader PA_0047, 4bis passage de la Main d'Or",48.8516,2.37796
"Space Invader PA_0048, 10 rue Amelot",48.85586,2.3693
"Space Invader PA_0049, 117 rue Oberkampf",48.865957,2.378379
"Space Invader PA_0051, 13 rue de Charonne",48.85284,2.3744
"Space Invader PA_0053, face au 16 boulevard Vincent Auriol",48.836908,2.372367
"Space Invader PA_0055, 43 rue du Moulin des PrÃ©s",48.827765,2.352881
"Space Invader PA_0056, 10 rue Simonet",48.828724,2.351604
"Space Invader PA_0057, 34 rue Louise Weiss",48.834487,2.369748
"Space Invader PA_0058, 14 rue Louise Weiss",48.833443,2.370642
"Space Invader PA_0059, 1 rue Lacordaire",48.844321,2.284636
"Space Invader PA_0060, Ã©glise Saint-Eustache",48.86361,2.344486
"Space Invader PA_0061, 2 rue des Petits Carreaux",48.866362,2.347259
"Space Invader PA_0062 & PA_1078, 99 rue de RÃ©aumur",48.867695,2.345456
"Space Invader PA_0063, 74 rue de Charonne",48.853421,2.379863
"Space Invader PA_0064, devant le MusÃ©e d'Art Moderne",48.864766,2.297397
"Space Invader PA_0065, 30 rue de Lappe",48.853092,2.373914
"Space Invader PA_0066, PA_0067 & PA_0068, 63 rue des Trois FrÃ¨res",48.885639,2.33807
"Space Invader PA_0069, 40 rue du Banquier",48.834656,2.354171
"Space Invader PA_0070, 1 rue de la Verrerie",48.856829,2.355465
"Space Invader PA_0071, 5 rue de Fourcy",48.854802,2.35902
"Space Invader PA_0072, rue Charles Luizet",48.8616,2.367487
"Space Invader PA_0073, 93 rue Jean-Pierre Timbaud",48.8684,2.379376
"Space Invader PA_0075, sur le piÃ©destal du lion",48.834295,2.332466
"Space Invader PA_0076, statue de Jeanne ""au secours"" d'Arc",48.83833,2.357013
"Space Invader PA_0077, 10 rue de Fleurus",48.847133,2.331439
"Space Invader PA_0078, 21 passage du Moulin des PrÃ©s",48.828953,2.352885
"Space Invader PA_0079, 5 rue ChÃ©reau",48.82788,2.35146
"Space Invader PA_0080, 5 rue Ballu",48.881628,2.330889
"Space Invader PA_0081, 88 rue Saint-Maur",48.864884,2.377955
"Space Invader PA_0082, pasage de la VoÃ»te",48.846892,2.408596
"Space Invader PA_0083, fontaine Boucherat",48.864552,2.364555
"Space Invader PA_0084, 15 rue du Pas de la Mule",48.856007,2.366677
"Space Invader PA_0085, 58 rue de Charonne",48.853194,2.378192
"Space Invader PA_0086, pont de Sully",48.850563,2.360204
"Space Invader PA_0087, escalier du port de la Gare",48.837394,2.374162
"Space Invader PA_0088, sortie nord du Carrousel",48.862666,2.335168
"Space Invader PA_0089, 1 rue Baltard",48.862751,2.346483
"Space Invader PA_0090, mÃ©tro Etienne Marcel",48.86372,2.34899
"Space Invader PA_0092, 8 rue de la Ferronnerie",48.86031,2.347383
"Space Invader PA_0093, pont du Carroussel",48.859832,2.333481
"Space Invader PA_0094, porte Fleurus du jardin du Luxembourg",48.84704,2.33263
"Space Invader PA_0095, 65 rue Richelieu",48.867242,2.337616
"Space Invader PA_0097, 205 rue de Charenton",48.83944,2.389005
"Space Invader PA_0098 & PA_0099, sur la fontaine Saint-Michel",48.853192,2.343702
"Space Invader PA_0102 & PA_0564, 42 boulevard de l'HÃ´pital",48.839907,2.361975
"Space Invader PA_0103, 30 rue du Temple, dans la cour",48.859253,2.354045
"Space Invader PA_0104, sud de la place de la Porte de Montreuil",48.853403,2.414337
"Space Invader PA_0105, Ã  droite du lion de la statue",48.86744,2.3638
"Space Invader PA_0106, 2 rue Charlemagne",48.853901,2.361889
"Space Invader PA_0107, pont d'IÃ©na, rive gauche nord",48.859382,2.292935
"Space Invader PA_0108, tunnel de l'avenue de New York",48.859936,2.29058
"Space Invader PA_0109, 587 & 1081, tuyaux d'Ã©vacuation du Centre Pompidou",48.859764,2.352534
"Space Invader PA_0110, 91 rue Quincampoix",48.86263,2.35125
"Space Invader PA_0111, 20 rue Hermel",48.891598,2.344664
"Space Invader PA_0112, 19 rue Gassendi",48.835,2.326943
"Space Invader PA_0113, 46 rue du Cardinal Lemoine",48.846596,2.351423
"Space Invader PA_0114 & PA_1023, 26 rue Vieille du Temple",48.857153,2.357275
"Space Invader PA_0115, impasse des ArbalÃ©triers",48.858572,2.359639
"Space Invader PA_0116, 45 passage ThiÃ©rÃ©",48.854719,2.372764
"Space Invader PA_0117, 31 passage ThiÃ©rÃ© sur le trottoir",48.854414,2.373113
"Space Invader PA_0118, 1 rue Raymond Ayron",48.835576,2.375347
"Space Invader PA_0119 & PA_0824, 102 rue de Bagnolet",48.859426,2.402789
"Space Invader PA_0120, 44 quai de Jemmapes",48.869474,2.367228
"Space Invader PA_0121, 7 rue des Saints-PÃ¨res",48.857629,2.332797
"Space Invader PA_0122, rue de la Clef, sous le lierre",48.840487,2.353132
"Space Invader PA_0124, 40 rue de l'Arcade",48.873356,2.324385
"Space Invader PA_0125, sud de la Fontaine aux Lions",48.83954,2.39581
"Space Invader PA_0126, pont d'IÃ©na (rive gauche)",48.859222,2.292681
"Space Invader PA_0128, 1 rue de Charonne",48.852,2.37376
"Space Invader PA_0131, 53 rue des Orteaux",48.856488,2.403152
"Space Invader PA_0132, 97 rue des MaraÃ®chers",48.856255,2.405541
