Latitude,Longitude,name,description
48.854028,2.336912,,
48.862954,2.32224,,
43.52846,5.443184,AIX-01,
43.530937,5.447377,AIX-02,
43.527421,5.451752,AIX-03,
43.527734,5.450788,AIX-04,
43.526746,5.447312,AIX-05,
43.528067,5.445598,AIX-06,
43.527071,5.446558,AIX-07,
43.527214,5.447805,AIX-08,
43.527049,5.448541,AIX-09,
43.528132,5.449345,AIX-10,
43.95021,4.808646,AVI-01,
43.946791,4.807581,AVI-02,
43.946594,4.806578,AVI-03,
43.948972,4.805381,AVI-04,
43.94993,4.805768,AVI-05,
43.95032,4.806224,AVI-06,
43.949007,4.808479,AVI-07,
43.951022,4.804182,AVI-08,
43.950432,4.806414,AVI-09,
43.949173,4.807363,AVI-10,
43.948011,4.808294,AVI-11,
43.946478,4.809378,AVI-12,
43.950032,4.807428,AVI-13,
43.949276,4.806545,AVI-14,
43.948584,4.806159,AVI-15,
43.947239,4.806336,AVI-16,
43.942778,4.805446,AVI-17,
43.945095,4.805757,AVI-18,
43.947038,4.81096,AVI-19,
43.949287,4.811505,AVI-20,
43.951224,4.810596,AVI-21,
43.949693,4.807908,AVI-22,
43.951834,4.805014,AVI-23,
43.95158,4.806355,AVI-24,
43.94491,4.813181,AVI-25,
43.946999,4.810461,AVI-26,
43.946532,4.811352,AVI-27,
43.948072,4.808774,AVI-28,
43.947972,4.807465,AVI-29,
43.947947,4.806803,AVI-30,
43.949776,4.802847,AVI-31,
43.948886,4.804142,AVI-32,
43.944161,4.807388,AVI-33,
43.944361,4.808021,AVI-34,
43.945489,4.807388,AVI-35,
43.951878,4.803815,AVI-36,
43.951676,4.808857,AVI-37,
43.949242,4.814581,AVI-38,
43.945999,4.813117,AVI-39,
43.953366,4.805297,AVI-40,
43.950895,4.824377,AVI-41,
47.325398,5.045696,DIJ-01,2 Rue Dietsch
47.322397,5.042723,DIJ-02,"Angle Rue Jeannin / Rue Verrerie
"
47.324209,5.039517,DIJ-03,"2 rue Odebert, bar ""Le Kent"""
47.323756,5.044329,DIJ-04, 8 Rue Auguste Comte
47.32087,5.043387,DIJ-05,3 Place du Théâtre
47.32305,5.038449,DIJ-06,"30 Rue Musette, Happy
"
48.287813,2.596647,FTBL_01,"rue de la Dame Jouanne à Larchant, à l'angle du chemin des Bardins, près du calvaire, sur un pylône électrique en béton"
48.284095,2.595955,FTBL_02,"dans la partie en ruine de la basilique Saint-Mathurin, à Larchant"
48.349435,2.607869,"FTBL_03  Rue de Melun à Ury, sur un pylône électrique en béton, à proximité de l'entrée du Novotel","Rue de Melun à Ury, sur un pylône électrique en béton, à proximité de l'entrée du Novotel"
48.403901,2.701778,FTBL_04  Angle place d'Armes - rue du Château,
48.404869,2.699419,"FTBL_07  Rue des Trois Maillets, près de l'angle avec la rue de la Corne ×",
48.402746,2.697113,"FTBL_08 3 Rue Dénecourt, Fontainebleau",
48.402416,2.470449,"FTBL_09  rue Pierre-Auguste Houdin, à l'angle de la place du Marché, à Milly-la-Forêt",
48.444367,2.608015,"FTBL_10  devant le Musée Millet, Grande Rue à Barbizon",
48.474737,2.693101,"FTBL_11  sur un pilier du pont de chemin de fer, à côté de la gare SNCF de Bois-le-Roi",
48.415785,2.726943,"FTBL_12  sur un mur du parking payant de la gare de Fontainebleau-Avon, côté gare routière",
48.403755,2.692132,"FTBL_13  Bar du Stade, angle rue Saint-Merry et rue Royale",
48.409741,2.725798,"FTBL_14, Rue du Viaduc, Avon  -   Sur une des piles du Viaduc",
48.387695,2.668236,"FTBL_15, Aqueduc de la Vanne, D152  Entre Ury et Fontainebleau",
48.44258,2.610766,"FTBL_16, 2 Chemin du Bornage, Barbizon  ROBIN VADER !",
48.488343,2.691181,"FTBL_21, 32 Rue du Port, Chartrettes",
48.49547,2.63343,"FTBL_22, face au 11 route de la Glandée, Villiers-en-Bière  La Fée Derrière le transfo électrique",
48.317176,2.647383,"FTBL_25, 12 Rue de Larchant, Villiers-sous-Grez  La Poste !",
48.315921,2.771685,"FTBL_26, 4 Rue de la Ferme, La Genevraye  Brasserie Pachamama",
48.334808,2.747383,"FTBL_27, 3 Rue de la Libération, Montigny-sur-Loing  Au trèfle à 5 feuilles",
48.396313,2.783398,"FTBL_29, 12 Rue Rosa Bonheur, Thomery  Musée Rosa Bonheur",
48.4866,2.754913,"FTBL_30, 8 Rue de la Vieille Montagne, Fontaine-le-Port",
48.409301,2.632457,"FTBL_31, Route de l'Ermitage, Franchard  Proche de l'Oeil des Nations",
48.412329,2.564924,"FTBL_32, 53 Rue Grande, Arbonne-la-Forêt",
48.352546,2.568737,"FTBL_33, 12 Rue Laurent Poli, Achères-la-Forêt",
48.411955,2.472452,"FTBL_35, Chemin des Bourbons, Milly-la-Forêt",
48.340733,2.716159,"FTBL_36, 181 Rue du Général Leclerc, Bourron-Marlotte  Frise sur la Tour angle ruelle de la Cour du Puits - Rue du Général Leclerc",
48.37254,2.819101,"FTBL_37, Pont du Loing, Moret-Loing-et-Orvanne  Duck Hunt Sur une des piles du pont",
